day,mean_alpha,std_alpha
4,0.5,0.0
5,0.5822755694389343,0.0235140360891819
6,0.386582612991333,0.02068571001291275
7,0.19206996262073517,0.03032788448035717
8,0.08430644124746323,0.024979447945952415
9,0.05594148859381676,0.020343201234936714
10,0.06717979162931442,0.022773798555135727
11,0.1327378898859024,0.030753446742892265
12,0.31420913338661194,0.026561589911580086
13,0.6141579151153564,0.019694514572620392
14,0.780934751033783,0.031545329838991165
15,0.7743274569511414,0.030250204727053642
16,0.6537179350852966,0.020522326231002808
17,0.44578540325164795,0.014467011205852032
18,0.27977705001831055,0.027956699952483177
19,0.2183542549610138,0.030430322512984276
20,0.21274231374263763,0.03120187669992447
21,0.21976497769355774,0.030979545786976814
22,0.2042679637670517,0.031195562332868576
23,0.17218603193759918,0.030553948134183884
24,0.15335284173488617,0.029843980446457863
25,0.17513395845890045,0.029832104220986366
26,0.2659883499145508,0.028591878712177277
27,0.44358694553375244,0.023865675553679466
28,0.5895677208900452,0.024853579699993134
29,0.5784582495689392,0.017736686393618584
30,0.4342797100543976,0.013122862204909325
31,0.2650246322154999,0.027517074719071388
32,0.18261507153511047,0.030427366495132446
33,0.16715498268604279,0.030343685299158096
34,0.19036275148391724,0.030044136568903923
35,0.22975504398345947,0.030204419046640396
36,0.24189980328083038,0.02845599129796028
37,0.21811677515506744,0.027741238474845886
38,0.19595040380954742,0.029066236689686775
39,0.2148534506559372,0.029135888442397118
40,0.29942479729652405,0.02695145644247532
41,0.4662145972251892,0.021777311339974403
42,0.6071861982345581,0.02492036670446396
43,0.5972136855125427,0.019749818369746208
44,0.43751728534698486,0.012046199291944504
45,0.2638920247554779,0.026249976828694344
46,0.17700564861297607,0.02910904958844185
47,0.16257835924625397,0.029479704797267914
48,0.19382533431053162,0.029580358415842056
49,0.2378300130367279,0.02770308591425419
50,0.2559192180633545,0.02603025734424591
51,0.23349717259407043,0.027451055124402046
52,0.20701944828033447,0.028310710564255714
53,0.21829630434513092,0.02824828401207924
54,0.30028730630874634,0.02438073605298996
55,0.45432546734809875,0.014849100261926651
56,0.5653386116027832,0.01578466407954693
57,0.5277990102767944,0.0078191589564085
58,0.3759151101112366,0.016147516667842865
59,0.23025402426719666,0.028066938742995262
60,0.16109240055084229,0.029182488098740578
61,0.15561148524284363,0.02985956147313118
62,0.1857825070619583,0.029198314994573593
63,0.2360657900571823,0.02743864245712757
64,0.253921240568161,0.025660833343863487
65,0.22306612133979797,0.027242761105298996
66,0.1885296255350113,0.02828088402748108
67,0.19294272363185883,0.029465287923812866
68,0.2554258704185486,0.026867471635341644
69,0.39187589287757874,0.01650119200348854
70,0.5205280184745789,0.00822006817907095
71,0.515927791595459,0.007418714929372072
72,0.3714483976364136,0.018582362681627274
73,0.2232607901096344,0.029346918687224388
74,0.15235672891139984,0.029392248019576073
75,0.13819213211536407,0.028623033314943314
76,0.16446708142757416,0.029715167358517647
77,0.20314599573612213,0.02828386053442955
78,0.22004537284374237,0.02807041071355343
79,0.19751183688640594,0.027907300740480423
80,0.1729482263326645,0.027883339673280716
81,0.1783810257911682,0.028601132333278656
82,0.2388393133878708,0.027681395411491394
83,0.3703361749649048,0.02087843045592308
84,0.49902456998825073,0.014040464535355568
85,0.493379145860672,0.010826623998582363
86,0.36099573969841003,0.018631834536790848
87,0.22610022127628326,0.028304850682616234
88,0.1681455820798874,0.028536144644021988
89,0.16862408816814423,0.02882298268377781
90,0.21768878400325775,0.02871093526482582
91,0.2894585430622101,0.027422891929745674
92,0.30764684081077576,0.025501541793346405
93,0.25191769003868103,0.026646237820386887
94,0.19272452592849731,0.028075801208615303
95,0.17656901478767395,0.028102651238441467
96,0.21219421923160553,0.027808859944343567
97,0.3276861310005188,0.022048570215702057
98,0.4648996591567993,0.010545449331402779
99,0.4890279173851013,0.007791372947394848
100,0.3687034547328949,0.017977895215153694
101,0.22431249916553497,0.02687818929553032
102,0.15658853948116302,0.02795231342315674
103,0.15376734733581543,0.02758041024208069
104,0.2008400410413742,0.02785222791135311
105,0.2728489935398102,0.02574038878083229
106,0.2996564507484436,0.023749664425849915
107,0.25838297605514526,0.024112887680530548
108,0.20468811690807343,0.02538236230611801
109,0.19270910322666168,0.025774745270609856
110,0.24627669155597687,0.024122798815369606
111,0.37641358375549316,0.017121925950050354
112,0.5077354907989502,0.012022314593195915
113,0.509734034538269,0.008181527256965637
114,0.3524479269981384,0.016194110736250877
115,0.19807037711143494,0.02517562545835972
116,0.13157860934734344,0.02554112672805786
117,0.12710130214691162,0.025488829240202904
118,0.16363763809204102,0.0256850253790617
119,0.22513456642627716,0.024043045938014984
