day,method,group,log_loss,brier,pr_auc,n
85,rolling_3,A,0.551943320029745,0.1739750543696825,0.44174213038694526,1497
85,rolling_3,B,0.5400389454240906,0.16813650573693217,0.4742316068391181,1503
85,rolling_3,overall,0.5459792283523122,0.1710499415046746,0.45667061219225213,3000
85,expanding,A,0.38107306924838663,0.1199428815454409,0.6924196184287,1497
85,expanding,B,0.37953169617104304,0.119230857880196,0.700675077357292,1503
85,expanding,overall,0.3803008413366375,0.11958615768915319,0.6957228102909013,3000
85,m1_global_mix,A,0.41081241162414933,0.13339251523846296,0.6042611990544596,1497
85,m1_global_mix,B,0.40545630214505285,0.13087726810713896,0.6187896250595831,1503
85,m1_global_mix,overall,0.408129000775122,0.13213237642566966,0.6107421567609782,3000
85,m2_context_gate,A,0.4216705689301821,0.138095799964631,0.5788945879851662,1497
85,m2_context_gate,B,0.41495606324090434,0.13488335097917867,0.595403714435829,1503
85,m2_context_gate,overall,0.41830660157985405,0.1364863630229194,0.5863178638165573,3000
85,m5_multiscale_gate,A,0.40057580234455875,0.12880326721332946,0.6319968840511261,1497
85,m5_multiscale_gate,B,0.39754020796436,0.12661540548632103,0.6434717116241095,1503
85,m5_multiscale_gate,overall,0.39905496956007913,0.12770714848809825,0.6366127068264076,3000
85,m2_m5_ensemble,A,0.4158294515052252,0.13562691242123323,0.5913698218047438,1497
85,m2_m5_ensemble,B,0.41033405219656566,0.13279885815296782,0.606489362423401,1503
85,m2_m5_ensemble,overall,0.41307625645158685,0.13421005723283227,0.5979607131408544,3000
86,rolling_3,A,0.5523016849033676,0.17559737814216533,0.5445947289263566,1497
86,rolling_3,B,0.5364069474539097,0.16934769040461073,0.5571273040528764,1503
86,rolling_3,overall,0.5443384214411892,0.17246628458565047,0.5496741993464318,3000
86,expanding,A,0.4449307679029928,0.14392198495497116,0.6490837250961242,1497
86,expanding,B,0.4352434070346249,0.1417698184067718,0.6629093908933287,1503
86,expanding,overall,0.4400774001079404,0.14284374951432327,0.6548521572301608,3000
86,m1_global_mix,A,0.44578006417970883,0.1443009874195145,0.647438593191526,1497
86,m1_global_mix,B,0.4346175337688059,0.14183313075473172,0.6608040881582156,1503
86,m1_global_mix,overall,0.4401876364438465,0.14306459123045834,0.6528415564604355,3000
86,m2_context_gate,A,0.45490300344907164,0.14808968322633187,0.6281421724320787,1497
86,m2_context_gate,B,0.44006665472368184,0.14448930048217354,0.6438703658414432,1503
86,m2_context_gate,overall,0.4474699927376514,0.14628589147150853,0.6347102106723631,3000
86,m5_multiscale_gate,A,0.4544334348394638,0.14779274333908332,0.6304439478286442,1497
86,m5_multiscale_gate,B,0.44649960904890357,0.14667661092825937,0.6374895291215831,1503
86,m5_multiscale_gate,overall,0.4504585881183931,0.1472335610012605,0.6327628586056593,3000
86,m2_m5_ensemble,A,0.45351087426426556,0.1475351224789783,0.630562515607469,1497
86,m2_m5_ensemble,B,0.43958399304938794,0.14426463301904155,0.6458210153575263,1503
86,m2_m5_ensemble,overall,0.4465335067756118,0.14589660725954998,0.6368442675178864,3000
87,rolling_3,A,0.4981667622524662,0.15577660031560717,0.6934164484110508,1521
87,rolling_3,B,0.47174612138119343,0.15352320816380988,0.6285385244817558,1479
87,rolling_3,overall,0.4851413863029287,0.1546656779847711,0.6612418331977634,3000
87,expanding,A,0.505517739215675,0.16745563000398084,0.626129467687003,1521
87,expanding,B,0.46064484493774466,0.15104868117161316,0.6164449173505263,1479
87,expanding,overall,0.48339540233665534,0.15936700422962358,0.6204932499781474,3000
87,m1_global_mix,A,0.505517739215675,0.16745563000398084,0.626129467687003,1521
87,m1_global_mix,B,0.46064484493774466,0.15104868117161316,0.6164449173505263,1479
87,m1_global_mix,overall,0.48339540233665534,0.15936700422962358,0.6204932499781474,3000
87,m2_context_gate,A,0.4831192234,0.15900529233740232,0.6685092434978817,1521
87,m2_context_gate,B,0.44599761287863465,0.1460394174257506,0.6414845070226655,1479
87,m2_context_gate,overall,0.46481826941296683,0.152613116005958,0.6549522229623986,3000
87,m5_multiscale_gate,A,0.5200920509072835,0.17328014811684067,0.5957059368118052,1521
87,m5_multiscale_gate,B,0.48371286927467083,0.15968524107151014,0.570547770852389,1479
87,m5_multiscale_gate,overall,0.5021571143624054,0.16657785894349275,0.5826307251424307,3000
87,m2_m5_ensemble,A,0.48567985438973466,0.16004859124558107,0.6636286345664768,1521
87,m2_m5_ensemble,B,0.44842152781491496,0.14689787586176528,0.6372291119128206,1479
87,m2_m5_ensemble,overall,0.46731149938834854,0.1535652885613599,0.6501395801543267,3000
88,rolling_3,A,0.44887327702671204,0.14400940080351743,0.6933325023229402,1459
88,rolling_3,B,0.43039657351307314,0.13881571766018086,0.6730822303337624,1541
88,rolling_3,overall,0.43938241032187275,0.14134157889555687,0.6830321454252529,3000
88,expanding,A,0.4767402500052244,0.15820187221671922,0.6102831599969577,1459
