day,expanding,rolling_1,rolling_3,rolling_7,rolling_14
4,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813,0.20000606775283813
5,0.13879570364952087,0.09145570546388626,0.4921566843986511,0.13879570364952087,0.13879570364952087
6,0.24492067098617554,0.040566131472587585,0.22467167675495148,0.24492067098617554,0.24492067098617554
7,0.312040239572525,0.018113315105438232,0.045765701681375504,0.312040239572525,0.312040239572525
8,0.324640691280365,0.013426480814814568,0.012650414370000362,0.324640691280365,0.3246406316757202
9,0.4060114324092865,0.027737081050872803,0.007340478710830212,0.15289932489395142,0.4060114324092865
10,0.3616733253002167,0.1784576028585434,0.011589757166802883,0.08660601079463959,0.3616733253002167
11,0.12617072463035583,0.6964954137802124,0.017823632806539536,0.033339496701955795,0.12617072463035583
12,0.18544362485408783,0.5536301732063293,0.04489046707749367,0.030592408031225204,0.18544362485408783
13,0.32597681879997253,0.17573770880699158,0.13613013923168182,0.03617921471595764,0.32597678899765015
14,0.2809353768825531,0.049859434366226196,0.3528023660182953,0.03546755015850067,0.2809353768825531
15,0.35054847598075867,0.018999328836798668,0.2453097403049469,0.03459421172738075,0.3505484163761139
16,0.4588487148284912,0.00700183492153883,0.07201841473579407,0.02167409285902977,0.44045740365982056
17,0.5438276529312134,0.0028378735296428204,0.021397974342107773,0.010602904483675957,0.4213332235813141
18,0.6894770264625549,0.0015967802610248327,0.009325236082077026,0.006066027097404003,0.293534517288208
19,0.8561087846755981,0.0010699771810323,0.005133678205311298,0.0038980748504400253,0.1337890326976776
20,0.9383171200752258,0.0007726358599029481,0.0031500132754445076,0.002706896048039198,0.05505349859595299
21,0.9688059687614441,0.0005735775921493769,0.0021368556190282106,0.002041260013356805,0.02644330821931362
22,0.9785676002502441,0.0005398812354542315,0.0018680518260225654,0.0019900149200111628,0.017033860087394714
23,0.981637179851532,0.0005621360032819211,0.0019064033403992653,0.002219517482444644,0.013674433343112469
24,0.9796141982078552,0.0007210767362266779,0.0024238002952188253,0.0030186509247869253,0.01422220841050148
25,0.9707052111625671,0.0011741186026483774,0.0038775578141212463,0.005011478438973427,0.019231243059039116
26,0.9455761909484863,0.002506891032680869,0.008213444612920284,0.010576000437140465,0.03312693163752556
27,0.888609766960144,0.005338600836694241,0.01908332109451294,0.025165703147649765,0.06180242449045181
28,0.7395578026771545,0.011943459510803223,0.05092326179146767,0.07878144830465317,0.11879315972328186
29,0.5968159437179565,0.01874946802854538,0.0876142680644989,0.1414625644683838,0.1553582400083542
30,0.7232162356376648,0.01803687959909439,0.06986092776060104,0.046197645366191864,0.14268791675567627
31,0.8388531804084778,0.013838913291692734,0.038126759231090546,0.008659390732645988,0.1005217507481575
32,0.8679589629173279,0.014155896380543709,0.03328957408666611,0.002940442645922303,0.08165580034255981
33,0.8295100331306458,0.022795315831899643,0.060565222054719925,0.002397454110905528,0.08473152667284012
34,0.6399878263473511,0.044863011687994,0.21959485113620758,0.003093248000368476,0.09246194362640381
35,0.3391387462615967,0.05940239876508713,0.5281054377555847,0.003989364020526409,0.06936343759298325
36,0.6524107456207275,0.059025924652814865,0.22275476157665253,0.0042991843074560165,0.0615096241235733
37,0.9124688506126404,0.02673390880227089,0.02660330757498741,0.002650513546541333,0.031543657183647156
38,0.9555283188819885,0.01597023941576481,0.005494174547493458,0.0022076470777392387,0.020800581201910973
39,0.954767644405365,0.016948403790593147,0.0026372242718935013,0.0032070546876639128,0.022440580651164055
40,0.9366443157196045,0.02494296431541443,0.002073671668767929,0.0058142198249697685,0.030523600056767464
41,0.8834574222564697,0.05091782286763191,0.00242139445617795,0.013191907666623592,0.050010960549116135
42,0.7672261595726013,0.11433220654726028,0.00324418768286705,0.03271108120679855,0.08248743414878845
43,0.6820582151412964,0.15057587623596191,0.0037704575806856155,0.05847734212875366,0.10511760413646698
44,0.7527866959571838,0.10055191814899445,0.0032870727591216564,0.04140901565551758,0.10196638852357864
45,0.8328115940093994,0.061935365200042725,0.0028454153798520565,0.016088860109448433,0.08631718158721924
46,0.8565557599067688,0.05589422956109047,0.003104067174717784,0.007653328590095043,0.07679304480552673
47,0.7970456480979919,0.10324786603450775,0.005528610199689865,0.0072446586564183235,0.08693360537290573
48,0.6213547587394714,0.2673726975917816,0.010656557977199554,0.009386385791003704,0.09122992306947708
49,0.6829574108123779,0.2244342416524887,0.013715905137360096,0.01003738772124052,0.06885428726673126
50,0.8542605638504028,0.08107946813106537,0.012693150900304317,0.0090172803029418,0.04295004904270172
51,0.9231191277503967,0.032215967774391174,0.01014762558043003,0.007285370025783777,0.027232661843299866
52,0.9391790628433228,0.01966121979057789,0.010153804905712605,0.007355816662311554,0.02365090884268284
53,0.9243593811988831,0.020274123176932335,0.014738760888576508,0.010378449223935604,0.03024989739060402
54,0.8625078201293945,0.032965995371341705,0.03228207305073738,0.020138083025813103,0.052105434238910675
55,0.6682105660438538,0.0730719342827797,0.108497254550457,0.0504097081720829,0.09980963170528412
56,0.34887680411338806,0.11182005703449249,0.3051110804080963,0.11065233498811722,0.1235402300953865
57,0.3849560618400574,0.0959293395280838,0.21574470400810242,0.14362791180610657,0.1597418338060379
58,0.6440542936325073,0.053142961114645004,0.05447228625416756,0.03836198151111603,0.2099682241678238
59,0.7915621995925903,0.02531295269727707,0.012553095817565918,0.006005413830280304,0.1645660251379013
60,0.857051432132721,0.01749241165816784,0.004793263040482998,0.0017411512089893222,0.11892152577638626
61,0.8873116970062256,0.01885068789124489,0.003309045685455203,0.0011342427460476756,0.08939430862665176
62,0.9031952023506165,0.02404903620481491,0.002956624375656247,0.001114929560571909,0.06868302077054977
63,0.9044690132141113,0.0332140251994133,0.0031937183812260628,0.0014908495359122753,0.05763240531086922
64,0.8970314264297485,0.044459860771894455,0.003662257920950651,0.002259389730170369,0.05258737877011299
65,0.8871362209320068,0.05316421389579773,0.004276125226169825,0.0036588350776582956,0.05176355317234993
66,0.8466173410415649,0.07721095532178879,0.0059221284464001656,0.007001024670898914,0.06324905157089233
67,0.6482703685760498,0.21411612629890442,0.01207362487912178,0.01787860505282879,0.1076609268784523
68,0.2598559260368347,0.5836577415466309,0.018682967871427536,0.029093952849507332,0.10870923101902008
69,0.3395470976829529,0.35259878635406494,0.03326874226331711,0.06727713346481323,0.2073080986738205
70,0.4370361268520355,0.07460913062095642,0.039473097771406174,0.156122624874115,0.29275915026664734
71,0.4849987328052521,0.01819164864718914,0.035104602575302124,0.1790715605020523,0.2826331853866577
72,0.6637975573539734,0.005410805810242891,0.025105537846684456,0.037246644496917725,0.26843950152397156
73,0.8111356496810913,0.0018209614790976048,0.01529836654663086,0.005558151751756668,0.16618655622005463
74,0.8875846266746521,0.0009292844915762544,0.011696912348270416,0.0014944016002118587,0.09829428791999817
75,0.9204791784286499,0.0007208839524537325,0.012263652868568897,0.0007970272563397884,0.06573832035064697
76,0.9305959343910217,0.0007766920025460422,0.017114412039518356,0.0007201647968031466,0.05079212039709091
77,0.9284523129463196,0.0009072096436284482,0.026305576786398888,0.0008311599376611412,0.04350297898054123
78,0.9197255969047546,0.0011270997347310185,0.038464322686195374,0.001136107835918665,0.039545781910419464
