day,method,group,log_loss,brier,pr_auc,n
85,rolling_3,A,0.4361942314605941,0.13693798022934717,0.6139395536641995,1497
85,rolling_3,B,0.4184315043413377,0.13567865261708834,0.6043867752652425,1503
85,rolling_3,overall,0.42729510517384667,0.1363070570956055,0.6071495728372573,3000
85,expanding,A,0.4311943648955045,0.13928392923976232,0.5694084524842145,1497
85,expanding,B,0.4211308118787808,0.1350558193427454,0.5878349501336808,1503
85,expanding,overall,0.42615252483412597,0.13716564618135685,0.5784794734983811,3000
85,m1_global_mix,A,0.39179126492986666,0.12518255796835842,0.6610013146066565,1497
85,m1_global_mix,B,0.3800539370995725,0.12284048467500577,0.6562429767341023,1503
85,m1_global_mix,overall,0.38591086368688926,0.12400917924838874,0.6570861737385502,3000
85,m2_context_gate,A,0.3915940833329059,0.125072793065044,0.6615497726977921,1497
85,m2_context_gate,B,0.37996248848825154,0.12270516429142804,0.6579133931674073,1503
85,m2_context_gate,overall,0.38576665431573404,0.12388661104946241,0.6579793336571916,3000
86,rolling_3,A,0.43793132690057096,0.13660761640743763,0.6378132434334673,1497
86,rolling_3,B,0.4127045342254528,0.13217381405908923,0.6421268417560928,1503
86,rolling_3,overall,0.4252927037703368,0.13438628143091508,0.6398125155073622,3000
86,expanding,A,0.44275736616579436,0.14159607103694002,0.6067204899788959,1497
86,expanding,B,0.4282249867397465,0.13880275555229063,0.5989093057759417,1503
86,expanding,overall,0.4354766440733444,0.14019661997913066,0.6017768001647728,3000
86,m1_global_mix,A,0.39678479156589547,0.1259163114465559,0.6836174247588443,1497
86,m1_global_mix,B,0.38573269542079586,0.12354519890616114,0.6805534539958116,1503
86,m1_global_mix,overall,0.39124769139720045,0.12472838406381813,0.6812554044232872,3000
86,m2_context_gate,A,0.3967343820449534,0.12589407166005046,0.6839877297759115,1497
86,m2_context_gate,B,0.38611182766487334,0.12361884415546025,0.6826188966089238,1503
86,m2_context_gate,overall,0.3914124823005333,0.12475418268025078,0.6826274520805367,3000
87,rolling_3,A,0.47037972840646725,0.14539612693485507,0.6502515508045523,1521
87,rolling_3,B,0.42116449833880887,0.13403979541104985,0.6330159987139093,1479
87,rolling_3,overall,0.44611661998311175,0.1397974554936191,0.6386903312591639,3000
87,expanding,A,0.4875265377960744,0.16003481565206157,0.5868397993089962,1521
87,expanding,B,0.42893250065842276,0.13722845185912969,0.5702600991483047,1479
87,expanding,overall,0.4586396774872122,0.14879127830214617,0.5787806943201008,3000
87,m1_global_mix,A,0.42825519072740903,0.13847001808105588,0.6773180800186386,1521
87,m1_global_mix,B,0.3846060005747772,0.12233119391838025,0.6659974882994503,1479
87,m1_global_mix,overall,0.40673613998216146,0.13051357776885678,0.6693457477693292,3000
87,m2_context_gate,A,0.42903079434794944,0.13905892691950933,0.6760005338130398,1521
87,m2_context_gate,B,0.3844430897550709,0.12201410066209943,0.666783378471748,1479
87,m2_context_gate,overall,0.4070490559836603,0.13065582757460625,0.6693350635245684,3000
88,rolling_3,A,0.465364815638311,0.14549835265896097,0.6040520461285925,1459
88,rolling_3,B,0.43792197397193966,0.13970124101134795,0.5944789624473827,1541
88,rolling_3,overall,0.45126834263568494,0.14252056964263707,0.5986141826771637,3000
88,expanding,A,0.45578122790686865,0.15025945614948177,0.5531356546704598,1459
88,expanding,B,0.4374814512003821,0.14081697725413506,0.5647997440984065,1541
88,expanding,overall,0.4463812426053034,0.1454091694902387,0.5601323409531227,3000
88,m1_global_mix,A,0.4177972815330606,0.13492756067355904,0.6379964119632353,1459
88,m1_global_mix,B,0.4012860615960051,0.12858491718772097,0.6334276211543214,1541
88,m1_global_mix,overall,0.4093160182253931,0.13166955613633355,0.6345126702846472,3000
88,m2_context_gate,A,0.4175272933435995,0.13497103626095697,0.6377266353557461,1459
88,m2_context_gate,B,0.40098826684991223,0.12834445119280713,0.6343661910648919,1541
88,m2_context_gate,overall,0.4090317467346754,0.13156718039761733,0.6347761884038446,3000
89,rolling_3,A,0.42417516027700325,0.1337067294235552,0.6347903815523463,1476
89,rolling_3,B,0.39974800203309746,0.12738374883972578,0.6570417611711823,1524
89,rolling_3,overall,0.41176616388909903,0.13049465528696988,0.6444029102409496,3000
89,expanding,A,0.44443459465259205,0.14459384815052206,0.5657704520500693,1476
89,expanding,B,0.421222680143683,0.1348679095160244,0.6145054497015339,1524
89,expanding,overall,0.4326429420820662,0.13965307132419727,0.5887857747377785,3000
89,m1_global_mix,A,0.3965344631498245,0.1265934159838863,0.6516840167978148,1476
