method,day,log_loss,brier,pr_auc,n,n_train,fit_time
m1_global_mix,5,0.3418049789445022,0.10867274695074867,0.7572097360765042,3000,24000,0.07090330123901367
m1_global_mix,6,0.3398268555586084,0.10855082566732735,0.7961268591081654,3000,27000,0.07685971260070801
m1_global_mix,7,0.34006822126212055,0.10726394062851792,0.768932693466065,3000,30000,0.08302068710327148
m1_global_mix,8,0.34774126143249084,0.11032463295167823,0.764564842638827,3000,33000,0.09140968322753906
m1_global_mix,9,0.33837519558124907,0.10692107518050895,0.7645372527254645,3000,36000,0.10817909240722656
m1_global_mix,10,0.33971512438371765,0.10777561593638296,0.7553242519918281,3000,39000,0.10567188262939453
m1_global_mix,11,0.3526238574917981,0.11072316229654702,0.7686891208048884,3000,42000,0.1082768440246582
m1_global_mix,12,0.3407671471550086,0.10712694104242254,0.7536169430441085,3000,45000,0.11876034736633301
m1_global_mix,13,0.338317417539084,0.10562642422096398,0.7609805430176467,3000,48000,0.13446831703186035
m1_global_mix,14,0.34164503328281176,0.10765077331829896,0.758435818354977,3000,51000,0.16158604621887207
m1_global_mix,15,0.3183034839892906,0.09905826910811864,0.7816622859935172,3000,54000,0.15460824966430664
m1_global_mix,16,0.3382923180825585,0.10621009406209407,0.7618665452542385,3000,57000,0.1686081886291504
m1_global_mix,17,0.3380077339822888,0.10561072723655685,0.7712785164128559,3000,60000,0.17576360702514648
m1_global_mix,18,0.3296813617103526,0.10384443600447094,0.7736758076376782,3000,63000,0.19721579551696777
m1_global_mix,19,0.33260811342561747,0.1042502533985504,0.7813941911608709,3000,66000,0.17232251167297363
m1_global_mix,20,0.3766743479943264,0.11980700495587818,0.7449466418451036,3000,69000,0.1686699390411377
m1_global_mix,21,0.3314822269470291,0.1046408198307362,0.7451138489876578,3000,72000,0.17981410026550293
m1_global_mix,22,0.3475248034732922,0.10884042153281762,0.7405781356337162,3000,75000,0.20130491256713867
