day,block,R,S,L,L_R,L_S,L_L
5,2,0.47348273587561907,0.26325863206219047,0.26325863206219047,0.4181823225483727,0.4181823225483727,0.4181823225483727
5,3,0.4768685640243292,0.2615657179878354,0.2615657179878354,0.4223532908827465,0.4235760391023499,0.4235760391023499
5,4,0.4552239343648107,0.2723869279742429,0.27238913766094636,0.44232812574612324,0.4423850080179354,0.44238490728160534
5,5,0.43830250004426735,0.2808453344207781,0.2808521655349546,0.44079932341065853,0.4409179010034292,0.4409176822715844
5,6,0.41603454925344013,0.29197941979223524,0.2919860309543245,0.45286364046462074,0.45259428787685624,0.45259425443029544
5,7,0.40372118782182964,0.29814058012256034,0.29813823205561,0.44649237427367133,0.44653354574404425,0.4465338679655586
5,8,0.39011029185006074,0.30494447957846477,0.3049452285714744,0.4409009356665737,0.4407817021197928,0.4407815936299178
5,9,0.37971461960261954,0.31014141642207005,0.31014396397531035,0.43212880205341997,0.43206069904865646,0.4320606245253612
5,10,0.3698886509751954,0.315052404852466,0.31505894417233865,0.43596990685143894,0.435846278456209,0.4358461110253185
5,11,0.36088917594834247,0.3195528315012378,0.3195579925504196,0.4213691167021588,0.42120633469940144,0.4212063486149651
5,12,0.3548302302650172,0.3225857246485489,0.32258404508643385,0.4087065981484732,0.4086200347710916,0.4086202585880381
5,13,0.350831855509854,0.32458183285683845,0.3245863116333074,0.41711243927859293,0.417082501779357,0.4170822847795708
5,14,0.3406099037085492,0.3296970414587261,0.32969305483272454,0.42517676780843155,0.42478594003887804,0.4247862221220922
5,15,0.3341653366023102,0.3329197196188133,0.3329149437788764,0.42537032375404643,0.42508909289870284,0.4250891426172476
5,16,0.332660064419825,0.3336719856934093,0.3336679498867657,0.425031343393101,0.4249578751571451,0.42495787551250164
5,17,0.33190625902158066,0.3340484330653885,0.3340453079130308,0.4378873897000457,0.4378412403897965,0.4378412306482488
5,18,0.3315499208088163,0.3342237836822751,0.3342262955089086,0.4402106035421478,0.4401793914699844,0.4401792085873914
5,19,0.32402621101901297,0.33799079754496947,0.33798299143601745,0.4169436375540965,0.41652148548185125,0.41652183457995073
