regime,method,metric,spend,mean,std,n_seed
s0_none,expanding,clicks,25pct,17777.671399222843,1847.064667300641,8
s0_none,expanding,conversions,25pct,17777.671399222843,1847.064667300641,8
s0_none,rolling_7,clicks,25pct,17228.32692445491,1821.3537336228146,8
s0_none,rolling_7,conversions,25pct,17228.32692445491,1821.3537336228146,8
s0_none,han_arw,clicks,25pct,17777.671399222843,1847.064667300641,8
s0_none,han_arw,conversions,25pct,17777.671399222843,1847.064667300641,8
s0_none,m2_context_gate,clicks,25pct,17758.944908145953,1838.5945239490907,8
s0_none,m2_context_gate,conversions,25pct,17758.944908145953,1838.5945239490907,8
s0_none,m5b_smooth0.1,clicks,25pct,17722.110522160197,1852.7845501778265,8
s0_none,m5b_smooth0.1,conversions,25pct,17722.110522160197,1852.7845501778265,8
s0_none,ensemble3,clicks,25pct,17752.832266562174,1841.560685647406,8
s0_none,ensemble3,conversions,25pct,17752.832266562174,1841.560685647406,8
s0_none,amgtp,clicks,25pct,17722.484983234004,1844.3211295063004,8
s0_none,amgtp,conversions,25pct,17722.484983234004,1844.3211295063004,8
s0_none,_oracle,clicks,25pct,25978.662518325116,1887.042172546122,8
s0_none,_oracle,conversions,25pct,25978.662518325116,1887.042172546122,8
s0_none,_noskill,clicks,25pct,15129.27403698433,1747.9446570544221,8
s0_none,_noskill,conversions,25pct,15129.27403698433,1747.9446570544221,8
s0_none,_shuffled_amgtp,clicks,25pct,13194.006160826346,1504.8144401697564,8
s0_none,_shuffled_amgtp,conversions,25pct,13194.006160826346,1504.8144401697564,8
s1_abrupt,expanding,clicks,25pct,16317.826552874245,1014.4785631573736,8
s1_abrupt,expanding,conversions,25pct,16317.826552874245,1014.4785631573736,8
s1_abrupt,rolling_7,clicks,25pct,18479.15578048558,1070.1299308068412,8
s1_abrupt,rolling_7,conversions,25pct,18479.15578048558,1070.1299308068412,8
s1_abrupt,han_arw,clicks,25pct,18694.74003267871,1067.3015190303745,8
s1_abrupt,han_arw,conversions,25pct,18694.74003267871,1067.3015190303745,8
s1_abrupt,m2_context_gate,clicks,25pct,17857.334058868357,1069.8874475691312,8
s1_abrupt,m2_context_gate,conversions,25pct,17857.334058868357,1069.8874475691312,8
s1_abrupt,m5b_smooth0.1,clicks,25pct,18346.401291889517,1034.420267599094,8
s1_abrupt,m5b_smooth0.1,conversions,25pct,18346.401291889517,1034.420267599094,8
s1_abrupt,ensemble3,clicks,25pct,18716.32825172106,1064.2395335036665,8
s1_abrupt,ensemble3,conversions,25pct,18716.32825172106,1064.2395335036665,8
s1_abrupt,amgtp,clicks,25pct,18726.143925773948,1055.0522648827318,8
s1_abrupt,amgtp,conversions,25pct,18726.143925773948,1055.0522648827318,8
s1_abrupt,_oracle,clicks,25pct,27196.61802832691,1027.767166049049,8
