regime,metric,spend,ref,n_seed,amgtp_mean,ref_mean,mean_delta,rel_pct,n_amgtp_wins,wilcoxon_p
s0_none,clicks,10pct,han_arw,8,8994.934396057306,9046.188193011323,-51.25379695401841,-0.5665789375641642,0,0.0078125
s0_none,clicks,10pct,expanding,8,8994.934396057306,9046.188193011323,-51.25379695401841,-0.5665789375641642,0,0.0078125
s0_none,clicks,10pct,ensemble3,8,8994.934396057306,9016.970269322057,-22.03587326475224,-0.24438223268544737,0,0.0078125
s0_none,clicks,10pct,m5b_smooth0.1,8,8994.934396057306,8999.712370475641,-4.777974418335361,-0.05309030135240691,4,0.640625
s0_none,clicks,25pct,han_arw,8,17722.484983234004,17777.671399222843,-55.1864159888371,-0.31042544745905015,0,0.0078125
s0_none,clicks,25pct,expanding,8,17722.484983234004,17777.671399222843,-55.1864159888371,-0.31042544745905015,0,0.0078125
s0_none,clicks,25pct,ensemble3,8,17722.484983234004,17752.832266562174,-30.347283328170306,-0.17094333384386243,0,0.0078125
s0_none,clicks,25pct,m5b_smooth0.1,8,17722.484983234004,17722.110522160197,0.3744610738076517,0.002112959815589772,5,1.0
s0_none,clicks,50pct,han_arw,8,28228.432098067657,28255.771433756207,-27.339335688548545,-0.09675664227622953,0,0.0078125
s0_none,clicks,50pct,expanding,8,28228.432098067657,28255.771433756207,-27.339335688548545,-0.09675664227622953,0,0.0078125
s0_none,clicks,50pct,ensemble3,8,28228.432098067657,28239.96099182163,-11.52889375397126,-0.040824750987829124,2,0.1484375
s0_none,clicks,50pct,m5b_smooth0.1,8,28228.432098067657,28224.204615306015,4.227482761644296,0.014978217523804828,3,0.9453125
s0_none,clicks,75pct,han_arw,8,35487.20743783067,35498.89323325799,-11.68579542731959,-0.03291875989072096,1,0.015625
s0_none,clicks,75pct,expanding,8,35487.20743783067,35498.89323325799,-11.68579542731959,-0.03291875989072096,1,0.015625
s0_none,clicks,75pct,ensemble3,8,35487.20743783067,35489.10318981553,-1.8957519848586344,-0.005341786110286008,3,0.3828125
s0_none,clicks,75pct,m5b_smooth0.1,8,35487.20743783067,35476.886401991935,10.321035838733223,0.029092282005203602,5,0.3125
