day,mean_beta,std_beta
4,0.5,0.0
5,0.5720444917678833,0.018766839057207108
6,0.3963886797428131,0.019289176911115646
7,0.33484864234924316,0.021443486213684082
8,0.4527232348918915,0.008735659532248974
9,0.4176379442214966,0.011313946917653084
10,0.29908767342567444,0.023847930133342743
11,0.27785205841064453,0.024812985211610794
12,0.4526711404323578,0.007967720739543438
13,0.582186222076416,0.012718833982944489
14,0.5468347072601318,0.00965793151408434
15,0.38707950711250305,0.020054539665579796
16,0.19424661993980408,0.033130623400211334
17,0.08325013518333435,0.02530537359416485
18,0.04380016028881073,0.018368296325206757
19,0.03182133659720421,0.014302571304142475
20,0.02807639352977276,0.013127272948622704
21,0.029557758942246437,0.01365705206990242
22,0.035378389060497284,0.015678858384490013
23,0.042888153344392776,0.017088385298848152
24,0.055795542895793915,0.018523452803492546
25,0.07637766748666763,0.02196536585688591
26,0.10054118186235428,0.02437591552734375
27,0.11908170580863953,0.025363421067595482
28,0.13374558091163635,0.026538189500570297
29,0.188009113073349,0.02542075142264366
30,0.385083943605423,0.013970930129289627
31,0.6335763335227966,0.02852007746696472
32,0.6813389658927917,0.032910894602537155
33,0.5517503023147583,0.022921346127986908
34,0.31036317348480225,0.017704524099826813
35,0.14660902321338654,0.024313414469361305
36,0.07609844207763672,0.02025778591632843
37,0.04709072411060333,0.016171643510460854
38,0.03591977804899216,0.013871618546545506
39,0.031322285532951355,0.012780597433447838
40,0.030721457675099373,0.012725894339382648
41,0.03430254012346268,0.013643063604831696
42,0.03957652673125267,0.015161537565290928
43,0.05142208933830261,0.01765119656920433
44,0.07703740149736404,0.02107798121869564
45,0.1273764669895172,0.024125808849930763
46,0.19408033788204193,0.024490689858794212
47,0.2502628266811371,0.021649086847901344
48,0.3343653380870819,0.017300795763731003
49,0.36405763030052185,0.012127879075706005
50,0.25862178206443787,0.02074003405869007
51,0.17911051213741302,0.025252604857087135
52,0.1431814432144165,0.025492891669273376
53,0.1169479563832283,0.024097610265016556
54,0.0963531881570816,0.023289168253540993
55,0.0769641101360321,0.021434547379612923
56,0.07000139355659485,0.020395325496792793
57,0.08302552253007889,0.021853916347026825
58,0.14008130133152008,0.025039931759238243
59,0.2695998251438141,0.020361971110105515
60,0.40508031845092773,0.007623178884387016
61,0.44128671288490295,0.004552810452878475
62,0.4041024148464203,0.007390639744699001
63,0.3540286421775818,0.012500155717134476
64,0.29411575198173523,0.017720835283398628
65,0.27061694860458374,0.018995001912117004
66,0.26472482085227966,0.019867053255438805
67,0.24502208828926086,0.020693251863121986
68,0.1931225210428238,0.0233452245593071
69,0.13232643902301788,0.024014797061681747
70,0.09608986228704453,0.022367678582668304
71,0.0998634472489357,0.022181453183293343
72,0.15996785461902618,0.023914340883493423
73,0.29047420620918274,0.017843516543507576
74,0.4223983585834503,0.0057820226065814495
75,0.4926109313964844,0.006083236075937748
76,0.5535796880722046,0.014474555850028992
77,0.48737210035324097,0.004874176345765591
78,0.2741888165473938,0.020365122705698013
79,0.15034495294094086,0.02500886842608452
80,0.10164304822683334,0.023318087682127953
81,0.07661981880664825,0.01999370940029621
82,0.06332355737686157,0.018110262230038643
83,0.056065019220113754,0.017327824607491493
84,0.05597971752285957,0.017632242292165756
85,0.06477317959070206,0.01855316199362278
86,0.09369631111621857,0.02140803635120392
87,0.15729966759681702,0.023724282160401344
88,0.22591379284858704,0.021836869418621063
89,0.24161946773529053,0.020561562851071358
90,0.2103559374809265,0.022368842735886574
91,0.17692911624908447,0.022785600274801254
92,0.189885213971138,0.02260715141892433
93,0.25951915979385376,0.019135307520627975
94,0.3509208858013153,0.010989398695528507
95,0.40627607703208923,0.006876898463815451
96,0.4050234258174896,0.008490433916449547
97,0.37212833762168884,0.009416506625711918
98,0.31207969784736633,0.015246523544192314
99,0.32229623198509216,0.014474366791546345
100,0.49940812587738037,0.00634338241070509
101,0.7241736650466919,0.025204401463270187
102,0.8196166753768921,0.02759239263832569
103,0.8330034017562866,0.02727659046649933
104,0.8021380305290222,0.028296824544668198
105,0.750345766544342,0.026810457929968834
106,0.6890425682067871,0.023078445345163345
107,0.6263481378555298,0.017586201429367065
108,0.569037914276123,0.011297343298792839
109,0.473884642124176,0.0036751904990524054
110,0.3218342661857605,0.016567636281251907
111,0.17155638337135315,0.023521332070231438
112,0.09634209424257278,0.02131912298500538
113,0.07576330751180649,0.019099431112408638
114,0.08907276391983032,0.020700490102171898
115,0.12646886706352234,0.02225968800485134
116,0.17043767869472504,0.02353157103061676
117,0.19812361896038055,0.023086421191692352
118,0.20621100068092346,0.022621897980570793
119,0.2027280628681183,0.022666029632091522
