ablation,setting,mean,std,size
calib_complexity,intercept,0.3883448482957883,0.0005788844166452855,8
calib_complexity,platt,0.3879169032683926,0.0007399700318894632,8
carryover_rho,0.0,0.3883448482957883,0.0005788844166452855,8
carryover_rho,0.5,0.3882825246900475,0.0006106585026057539,8
carryover_rho,1.0,0.3882542424453882,0.0006211031520049397,8
chronology,real,0.3883448482957883,0.0005788844166452855,8
chronology,shuffled,0.3883208018596434,0.000587174756435993,8
delay_sec,0,0.3883175706027079,0.0005889823655938476,8
delay_sec,1800,0.3883448482957883,0.0005788844166452855,8
delay_sec,3600,0.3883448482957883,0.0005788844166452855,8
delay_sec,900,0.3883448482957883,0.0005788844166452855,8
long_term_backbone,adaptive,0.3883448482957883,0.0005788844166452855,8
long_term_backbone,equal,0.3875631493581995,0.0004902268263224631,8
long_term_backbone,expanding,0.38777412857585514,0.00044978538749143306,8
update_granularity,block_1800,0.3883448482957883,0.0005788844166452855,8
update_granularity,block_3600,0.3883448482957883,0.0005788844166452855,8
update_granularity,block_900,0.38836818722857214,0.0005690456733927388,8
update_granularity,impression,0.38799929787764675,0.00042276999863168996,8
