day,m2,m5b,m5b_hs
4,0.33332547545433044,0.33332547545433044,0.33332547545433044
5,0.5570525527000427,0.22147393226623535,0.22147393226623535
6,0.3270556330680847,0.23229828476905823,0.4406454563140869
7,0.12216459959745407,0.2635739743709564,0.6142616271972656
8,0.06909044086933136,0.4906919300556183,0.4402181804180145
9,0.0645996481180191,0.25226810574531555,0.6831331253051758
10,0.035603903234004974,0.05272986367344856,0.9116652011871338
11,0.01647818274796009,0.01167263649404049,0.9718493819236755
12,0.011765050701797009,0.0049062189646065235,0.9833297729492188
13,0.014781313948333263,0.0038272368256002665,0.9813926815986633
14,0.029798220843076706,0.004893711302429438,0.9653082489967346
15,0.05745754390954971,0.007377290166914463,0.935166597366333
16,0.053536925464868546,0.012493421323597431,0.9339690208435059
17,0.036720141768455505,0.02174520306289196,0.9415350556373596
18,0.04714030399918556,0.04720643535256386,0.905652642250061
19,0.09942800551652908,0.08815501630306244,0.8124170899391174
20,0.26067566871643066,0.11863464117050171,0.6206895112991333
21,0.6270772814750671,0.12691237032413483,0.24601033329963684
22,0.7888064980506897,0.14273662865161896,0.06845684349536896
23,0.6389737725257874,0.3182150721549988,0.04281128570437431
24,0.4403102993965149,0.5162248611450195,0.043464336544275284
25,0.6248394250869751,0.3035818338394165,0.07157859206199646
26,0.8000448346138,0.07920178025960922,0.12075398117303848
27,0.694837212562561,0.03325055539608002,0.2719116508960724
28,0.5552835464477539,0.020369691774249077,0.4243464767932892
29,0.31056874990463257,0.013804328627884388,0.6756265759468079
30,0.07789163291454315,0.008458547294139862,0.913650393486023
31,0.027234934270381927,0.006860712077468634,0.9659054279327393
32,0.017276868224143982,0.008061612024903297,0.9746612310409546
33,0.01835663989186287,0.013207818381488323,0.968435525894165
34,0.027246801182627678,0.02510724402964115,0.9476462602615356
35,0.05558495223522186,0.05761389806866646,0.8868027925491333
36,0.1657341569662094,0.20134352147579193,0.6329224705696106
37,0.25832703709602356,0.5691133737564087,0.17255902290344238
38,0.24346043169498444,0.7038614153862,0.05267777666449547
39,0.5612500905990601,0.4003562331199646,0.03839363157749176
40,0.9365432262420654,0.04563053324818611,0.017826398834586143
41,0.9844108819961548,0.0064063407480716705,0.00918382778763771
42,0.9891515970230103,0.0023651625961065292,0.0084828557446599
43,0.9850555062294006,0.0019932296127080917,0.012951976619660854
44,0.9722116589546204,0.002581980312243104,0.02520662173628807
45,0.9367709159851074,0.004848829936236143,0.05838055536150932
46,0.8543220162391663,0.010880699381232262,0.13479606807231903
47,0.5624658465385437,0.02786334976553917,0.4096704125404358
48,0.15507745742797852,0.03714248165488243,0.8077793717384338
49,0.07106971740722656,0.04644542559981346,0.8824850916862488
50,0.08588843047618866,0.0947260707616806,0.8193840384483337
51,0.1807275116443634,0.3075615167617798,0.5117114782333374
52,0.23149588704109192,0.5690801739692688,0.19942434132099152
53,0.3405996561050415,0.46274930238723755,0.1966506987810135
54,0.4780149459838867,0.1426570564508438,0.3793269395828247
55,0.3209995627403259,0.02899050898849964,0.6500102281570435
56,0.25475528836250305,0.009699282236397266,0.7355453968048096
57,0.22866465151309967,0.005357128102332354,0.7659797072410583
58,0.17511266469955444,0.00405126204714179,0.8208368420600891
59,0.1604829579591751,0.0046950276009738445,0.834822416305542
60,0.17421627044677734,0.00713739451020956,0.8186466693878174
61,0.17854361236095428,0.01227612979710102,0.8091809153556824
